relative_path,source_name,sha256,size_bytes,category,status
evidence/mapping-packs/MP02-G — čitateľná živá vzorka.xlsx,MP02-G — čitateľná živá vzorka.xlsx,36f04e78efed39dd14a277ce298b33889d039b77d831e3f204845549093ee5e8,364933,mapping-packs,INCLUDED
evidence/mapping-packs/MP02-I — recent USED=1 vzorka.xlsx,MP02-I — recent USED=1 vzorka.xlsx,062a777ced19a4cb9e856e2945b24aa7dfcc7cd914ff3b10add91a35e4a8957d,115400,mapping-packs,INCLUDED
evidence/mapping-packs/MP02-J — STAVY_SK.xlsx,MP02-J — STAVY_SK.xlsx,79ba5eed1ea8f777a6770b6837079f779a2f7268c18f391dbdc19e41e65b7fad,10587,mapping-packs,INCLUDED
evidence/mapping-packs/MP02-K — UCTY_SK.xlsx,MP02-K — UCTY_SK.xlsx,dfbfbabb72a58922877f08ce29fccac07773115312d1f5a00feb11c40e977239,23889,mapping-packs,INCLUDED
evidence/mapping-packs/MP02-L — dva používané typy skladovej karty.xlsx,MP02-L — dva používané typy skladovej karty.xlsx,7ccad5278436f29a8330fd9dcc84deece50186071ba69390573ea51fa88a3a65,10462,mapping-packs,INCLUDED
evidence/mapping-packs/MP03-A — kompletný source 21 priamych triggerov.xlsx,MP03-A — kompletný source 21 priamych triggerov.xlsx,ba08d2ce2629e940ee27f6eca72150597196b1625e0307f98fbf4c27bdad1e4d,46023,mapping-packs,INCLUDED
evidence/mapping-packs/MP03-B — C_SKLAD_KARTA package + body.xlsx,MP03-B — C_SKLAD_KARTA package + body.xlsx,bf6545ae1c442d0a91195465b737d997b2555881de1bb8c24cf74fa1985b1d23,348568,mapping-packs,INCLUDED
evidence/mapping-packs/MP03-C — globálny source-hit index SKLAD_KARTA.xlsx,MP03-C — globálny source-hit index SKLAD_KARTA.xlsx,a675531514eef13572757d1cac827f7797cadf2e5557a996e5a236e738ff8237,431023,mapping-packs,INCLUDED
evidence/mapping-packs/MP03-D — context všetkých externých direct writerov.xlsx,MP03-D — context všetkých externých direct writerov.xlsx,08a5a82a65bab3bbae2c10faf880d285ebcdf2375c117caaddf1964c1ae9cebc,158972,mapping-packs,INCLUDED
evidence/mapping-packs/MP03-E — stavová-blocking logika C_STAV_SK.xlsx,MP03-E — stavová-blocking logika C_STAV_SK.xlsx,baef4a9737700d4a8db4166015ad1968fb16f58dfda13f3b054ea7d50b52cf46,27875,mapping-packs,INCLUDED
"evidence/mapping-packs/MP03-F — lifecycle, forecast a history caller context.xlsx","MP03-F — lifecycle, forecast a history caller context.xlsx",111a6a3993b466807bf1afd430a493561138c2450c0f0ff53045c233e9c9d625,54396,mapping-packs,INCLUDED
evidence/mapping-packs/MP04-A — interní Oracle calleri.xlsx,MP04-A — interní Oracle calleri.xlsx,dc964f977e4a838255b8a500fbb672b45ea5e6c327c4c083a175f45df03aa5c1,16179,mapping-packs,INCLUDED
evidence/mapping-packs/MP04-C — synonyms.xlsx,MP04-C — synonyms.xlsx,b96f6f104e812ad5c824a4ed4764551a5bc01edfd407786f8d8f5c965000947f,9283,mapping-packs,INCLUDED
evidence/mapping-packs/MP04-D — grants - capabilities.xlsx,MP04-D — grants - capabilities.xlsx,c011adde44590c96e0ffa08fe8579ee7c0a595c431720d954063136ef81a1c3a,9786,mapping-packs,INCLUDED
evidence/mapping-packs/MP04-E — dependent views + ich output shape.xlsx,MP04-E — dependent views + ich output shape.xlsx,ee5236e3bf49d72477fc454284cfc14828e693e967db0513a937cd0f8b17bc34,50218,mapping-packs,INCLUDED
evidence/mapping-packs/MP05-A — business lookup target shapes.xlsx,MP05-A — business lookup target shapes.xlsx,f14f16ac5d3c4e6d51aba4cc4b76703d46a29c7496afc46cdae8b43d1d48fdce,30081,mapping-packs,INCLUDED
evidence/mapping-packs/MP05-A2.xlsx,MP05-A2.xlsx,c832071cc070c41595dff11f65eaf2163958f588edc0bedbb3098386035d7ebe,34161,mapping-packs,INCLUDED
evidence/mapping-packs/MP05-B — current business population model.xlsx,MP05-B — current business population model.xlsx,c86a0a926ae6c5f4c15b0b754cb520107b26f0fceb47bb1b7de802f9c93e04db,21305,mapping-packs,INCLUDED
evidence/mapping-packs/MP05-C — relationship a DQ closure.XLS,MP05-C — relationship a DQ closure.XLS,2a4fb7a0e40a7c7da67741c9ab7109bdaf9806640333c9769e2ac76063844e94,4608,mapping-packs,INCLUDED
evidence/mapping-packs/NOV-04 — impact analysis raw STAV=1.xlsx,NOV-04 — impact analysis raw STAV=1.xlsx,a5b418833ed71ba1a603d636a3c53257efbca19ff7185050e6eab89e058f2af8,113130,mapping-packs,INCLUDED
evidence/mapping-packs/NOV-06 — candidate action metadata tables.xlsx,NOV-06 — candidate action metadata tables.xlsx,e1d49d3dadb02be69a40f97a03c2e9e161f2b1ffb6b05e00f297c3c7d4057bac,15642,mapping-packs,INCLUDED
evidence/mapping-packs/NOV-08 — kto obsluhuje B_JOB_DEF-B_JOB_QUE.xlsx,NOV-08 — kto obsluhuje B_JOB_DEF-B_JOB_QUE.xlsx,2142c3e76e074aeb60ba3b45878746fd633072320d81a36214cffde720e80eb1,13781,mapping-packs,INCLUDED
evidence/mapping-packs/NOV-09 — šesť historických Noviniek vznik a história.xlsx,NOV-09 — šesť historických Noviniek vznik a história.xlsx,2326fe951b279e9ad209d8ef15c147b24c0d2c39af53bc00c3e59fadc51b5e36,10232,mapping-packs,INCLUDED
evidence/mapping-packs/NOV-09B — historical Novinka state history.xlsx,NOV-09B — historical Novinka state history.xlsx,5c907aeef8984889fe5e873eff30c623ffb441e3b9752b219fd983253c182258,9808,mapping-packs,INCLUDED
evidence/mapping-packs/PM-01 — discovery všetkých master satellites.xlsx,PM-01 — discovery všetkých master satellites.xlsx,2236a1117d7914178fb9d297775259d83ed9e7c925e076227c82872bcb7d31ea,27812,mapping-packs,INCLUDED
evidence/mapping-packs/PM-02A — úplný field dictionary významných satelitov.xlsx,PM-02A — úplný field dictionary významných satelitov.xlsx,8ba0721a8617a11f7b624c2808691873440a2612fd4db6b211e5a288ce186d18,23044,mapping-packs,INCLUDED
"evidence/mapping-packs/PM-02B — constraints, indexy a triggery v jednom packu.xlsx","PM-02B — constraints, indexy a triggery v jednom packu.xlsx",aeb2a8473b54123b5ff9b4e447b6a1c28119be3f59ea1f3f17cf471919c3db9e,25018,mapping-packs,INCLUDED
evidence/mapping-packs/PM-02C — live population a väzba na SKLAD_KARTA.xlsx,PM-02C — live population a väzba na SKLAD_KARTA.xlsx,6d43a211ab3911ce4364f69ea10e2601123a42caf33d4663194ca9ceee749b37,9686,mapping-packs,INCLUDED
evidence/mapping-packs/PM-02D — kompletný source-hit index satelitov.xlsx,PM-02D — kompletný source-hit index satelitov.xlsx,6ec2efdefe0c137e45c54b08252e8946d2e4a8e17abf944ceb92a5319ee402a9,71384,mapping-packs,INCLUDED
evidence/mapping-packs/PM-02E — kompletný source triggerov týchto tabuliek.xlsx,PM-02E — kompletný source triggerov týchto tabuliek.xlsx,a2c8de6040b8c6915ed151a163691de070d4ba42bb5772875d79d4b53d08e42e,23410,mapping-packs,INCLUDED
evidence/mapping-packs/PM-02F — SKLAD_KARTA_VAZBY view definition.xlsx,PM-02F — SKLAD_KARTA_VAZBY view definition.xlsx,f4b10aee2f12191da6dc2925b738f83a3b0deb394ee93a8dcb4486ecf076c556,9432,mapping-packs,INCLUDED
evidence/mapping-packs/PM-03A — discovery nákladových koeficientov a Doplnkových údajov.xlsx,PM-03A — discovery nákladových koeficientov a Doplnkových údajov.xlsx,37c947dea72a4dc686814d1ed6a8941331729f6fa6c6e3eaebedab3c4ca31243,19069,mapping-packs,INCLUDED
